"","Origin","Weather","Security","LateAircraft"
"14519","LAX",0,0,84
"16015","LAX",0,0,18
"16022","LAX",0,0,7
"16023","LAX",0,0,30
"16024","LAX",0,0,29
"16025","LAX",0,0,16
"16026","LAX",0,0,21
"16029","LAX",0,0,13
"16033","LAX",0,0,12
"16034","LAX",0,0,25
"16035","LAX",0,0,5
"16036","LAX",0,0,0
"16038","LAX",0,0,11
"16039","LAX",0,0,31
"16045","LAX",0,0,24
"16046","LAX",0,0,0
"16052","LAX",0,0,81
"16053","LAX",0,0,0
"16055","LAX",0,0,26
"16059","LAX",0,0,35
"17229","LAX",0,0,5
"17235","LAX",0,0,30
"17238","LAX",0,0,2
"17239","LAX",0,0,26
"17798","LAX",0,0,0
"17800","LAX",0,0,17
"17806","LAX",0,0,37
"17811","LAX",0,0,15
"17820","LAX",0,0,17
"17823","LAX",0,0,20
"18695","LAX",0,0,9
"18696","LAX",0,0,108
"18697","LAX",0,0,76
"18699","LAX",0,0,46
"18700","LAX",0,0,29
"18703","LAX",0,0,19
"18705","LAX",0,0,12
"18706","LAX",0,0,141
"18707","LAX",0,0,4
"18709","LAX",0,0,26
"18710","LAX",0,0,6
"18712","LAX",0,0,0
"18714","LAX",0,0,39
"18716","LAX",0,0,4
"18717","LAX",0,0,8
"18719","LAX",0,0,51
"18720","LAX",0,0,17
"18721","LAX",0,0,0
"18722","LAX",0,0,9
"18723","LAX",0,0,30
"18724","LAX",0,0,11
"18725","LAX",0,0,12
"18726","LAX",0,0,12
"18727","LAX",0,0,179
"18728","LAX",0,0,17
"18729","LAX",0,0,41
"18730","LAX",0,0,48
"18731","LAX",0,0,0
"18732","LAX",0,0,100
"18733","LAX",0,0,19
"18734","LAX",0,0,52
"18735","LAX",0,0,87
"18738","LAX",0,0,21
"18739","LAX",0,0,24
"18741","LAX",0,0,68
"18742","LAX",0,0,51
"18743","LAX",0,0,82
"18745","LAX",0,0,4
"18746","LAX",0,0,19
"18747","LAX",0,0,98
"18748","LAX",0,0,0
"18749","LAX",0,0,8
"18750","LAX",0,0,0
"18751","LAX",0,0,76
"18752","LAX",0,0,1
"18753","LAX",89,0,0
"18754","LAX",0,0,10
"18756","LAX",0,0,0
"18757","LAX",0,0,16
"18758","LAX",0,0,12
"18759","LAX",0,0,14
"18760","LAX",0,0,0
"18761","LAX",0,0,23
"18762","LAX",0,0,118
"18763","LAX",0,0,4
"18764","LAX",0,0,14
"18765","LAX",0,0,75
"18766","LAX",0,0,1
"18767","LAX",0,0,0
"18769","LAX",0,0,28
"18770","LAX",0,0,6
"18772","LAX",0,0,11
"18773","LAX",0,0,28
"18774","LAX",0,0,10
"18776","LAX",0,0,21
"18777","LAX",0,0,54
"20119","LAX",0,0,0
"20125","LAX",0,0,19
"20127","LAX",0,0,5
"20133","LAX",0,0,29
"20134","LAX",0,0,3
"20135","LAX",0,0,28
"20136","LAX",0,0,14
"20137","LAX",0,0,1
"20139","LAX",0,0,22
"20141","LAX",0,0,32
"20142","LAX",0,0,41
"20149","LAX",0,0,15
"20150","LAX",0,0,26
"21112","LAX",0,0,19
"21114","LAX",0,0,23
"21115","LAX",0,0,17
"21116","LAX",0,0,25
"21117","LAX",0,0,37
"21118","LAX",0,0,19
"21119","LAX",0,0,16
"21120","LAX",0,0,13
"21122","LAX",0,0,9
"21124","LAX",0,0,18
"21125","LAX",0,0,42
"21128","LAX",0,0,20
"21130","LAX",0,0,26
"21131","LAX",0,0,22
"21135","LAX",0,0,1
"21137","LAX",0,0,16
"21138","LAX",0,0,20
"21142","LAX",0,0,19
"21144","LAX",0,0,17
"21146","LAX",16,0,40
"21147","LAX",0,0,23
"21150","LAX",0,0,23
"21151","LAX",0,0,26
"21154","LAX",0,0,31
"21156","LAX",0,0,73
"21157","LAX",0,0,13
"21160","LAX",0,0,19
"21161","LAX",0,0,15
"21163","LAX",0,0,11
"21166","LAX",0,0,37
"22034","LAX",0,0,21
"22038","LAX",0,0,105
"22039","LAX",0,0,31
"22045","LAX",0,0,41
"22046","LAX",0,0,34
"22048","LAX",0,0,34
"22049","LAX",0,0,8
"22050","LAX",0,0,18
"22051","LAX",0,0,41
"22052","LAX",0,0,16
"22053","LAX",2,0,79
"22054","LAX",0,0,8
"22056","LAX",0,0,12
"22057","LAX",0,0,37
"22059","LAX",0,0,23
"22060","LAX",0,0,55
"22061","LAX",0,0,59
"22063","LAX",0,0,23
"22064","LAX",0,0,41
"22065","LAX",0,0,5
"22066","LAX",0,0,20
"22067","LAX",0,0,31
"22068","LAX",0,0,50
"22069","LAX",0,0,32
"22070","LAX",0,0,13
"22071","LAX",0,0,49
"22072","LAX",0,0,9
"22073","LAX",0,0,10
"22074","LAX",0,0,11
"22075","LAX",0,0,29
"22076","LAX",0,0,25
"22077","LAX",0,0,12
"22078","LAX",0,0,15
"22080","LAX",0,0,21
"22081","LAX",0,0,9
"22082","LAX",0,0,16
"22084","LAX",0,0,22
"22085","LAX",0,0,37
"22086","LAX",0,0,25
"22090","LAX",0,0,59
"22091","LAX",0,0,36
"23292","LAX",0,0,45
"23294","LAX",0,0,279
"23295","LAX",0,0,30
"23299","LAX",0,0,18
"23301","LAX",0,0,6
"23302","LAX",0,0,64
"23304","LAX",0,0,28
"23305","LAX",0,0,33
"23306","LAX",0,0,56
"23307","LAX",0,0,185
